split,accuracy,eer,f1_macro,real_accuracy,fake_accuracy,accuracy_at_eer_threshold,f1_at_eer_threshold,threshold,eer_threshold
validation,0.9985845718329794,0.0007077140835102433,0.9985845689972528,0.997169143665959,1.0,0.9992922859164898,0.9992922859164898,0.02299546758094686,0.9493768011572323
testing,0.8915441176470589,0.10845588235294115,0.8915441176470589,0.8915441176470589,0.8915441176470589,0.8915441176470589,0.8915441176470589,0.02299546758094686,0.02299546758094686
